metric,feature_combination,count,median_engagement,mean_engagement,std_engagement,percentile_rank
reactions_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Style Codes + Subjects,14,1716.855,3779.6692857142857,4264.182975028267,94.64604810996563
reactions_per_month,Camera + Parameter Weights + Quality + Style Modifiers + Subjects,14,1715.56,2356.9021428571427,1360.2669925957214,94.64604810996563
reactions_per_month,Artists + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,15,1685.0,4528.089333333333,5574.785224679024,94.58762886597938
reactions_per_month,Actions + Parameter Weights + Style Modifiers + Subjects,28,1679.7,3151.6314285714284,4662.959620511354,94.57731958762886
reactions_per_month,Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Modifiers + Subjects,17,1674.0,2515.752941176471,2015.181070637588,94.53951890034364
reactions_per_month,Actions + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,19,1661.25,2830.7252631578945,2212.6748984130127,94.47766323024055
reactions_per_month,Parameter Weights + Quality + Style Modifiers + Subjects,11,1602.95,1788.814545454545,795.1064114760036,94.25773195876289
reactions_per_month,Actions + Lighting + Parameter Weights + Subjects,30,1584.6100000000001,5906.2210000000005,16683.55367855848,94.19931271477662
reactions_per_month,Camera + Lighting + Parameter Weights + Quality + Style Modifiers + Subjects,13,1584.11,2740.269230769231,2828.9333803490767,94.19243986254295
reactions_per_month,Camera + Lighting + Parameter Weights + Style Modifiers + Subjects,11,1582.58,2306.995454545455,1570.9589150542513,94.18213058419244
reactions_per_month,Actions + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,130,1575.44,3605.596692307692,5169.198510660026,94.14432989690721
reactions_per_month,Camera + Lighting + Parameter Weights + Subjects,17,1575.0,3449.415882352941,4241.989362813657,94.14432989690721
reactions_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,17,1567.5,4290.1947058823525,9668.682619746582,94.09965635738831
reactions_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Modifiers + Subjects,14,1564.31,3276.64,4252.8907765911745,94.09278350515464
reactions_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Subjects,23,1551.54,3125.043043478261,2806.769821062972,94.03436426116838
