metric,feature_combination,count,median_engagement,mean_engagement,std_engagement,percentile_rank
likes_per_month,Lighting + Parameter Weights + Quality + Style Modifiers + Subjects,18,1164.6950000000002,1642.403888888889,1226.0433444401497,94.81443298969072
likes_per_month,Lighting + Parameter Weights + Quality + Subjects,12,1162.355,1234.7333333333333,638.3147353295934,94.81099656357388
likes_per_month,Lighting + Parameter Weights + Style Codes + Style Modifiers + Subjects,14,1161.8449999999998,1518.0114285714287,1217.4997926714823,94.81099656357388
likes_per_month,Camera + Parameter Weights + Quality + Style Modifiers + Subjects,13,1148.33,1601.8069230769229,928.836164176891,94.76632302405498
likes_per_month,Actions + Camera + Parameter Weights + Style Modifiers + Subjects,19,1137.93,1348.4431578947367,772.3919660178858,94.72852233676976
likes_per_month,Actions + Parameter Weights + Style Codes + Subjects,14,1108.835,1451.3407142857143,767.0237581388792,94.56701030927834
likes_per_month,Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,21,1102.5,2884.249523809524,4525.422496975099,94.54295532646049
likes_per_month,Artists + Camera + Lighting + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,15,1091.67,1191.3606666666667,497.6962004203858,94.4639175257732
likes_per_month,Actions + Artists + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,15,1088.18,2075.9646666666667,2912.8214584782836,94.43986254295532
likes_per_month,Actions + Lighting + Parameter Weights + Subjects,27,1080.0,4173.645925925926,11723.196520135642,94.40549828178693
likes_per_month,Actions + Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,131,1080.0,2413.757404580153,3495.7331052271497,94.40549828178693
likes_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Subjects,22,1068.96,2179.3654545454547,1946.5521149218202,94.34364261168385
likes_per_month,Actions + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,19,1053.75,1884.9584210526316,1555.2612663210514,94.27835051546391
likes_per_month,Actions + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,18,1037.06,4193.821111111111,6967.389526363266,94.17182130584192
likes_per_month,Lighting + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,11,1023.33,1711.5145454545454,1470.621551474463,94.1168384879725
likes_per_month,Camera + Lighting + Parameter Weights + Quality + Style Modifiers + Subjects,13,1021.14,1803.2330769230769,1745.6882833796515,94.106529209622
likes_per_month,Parameter Weights + Quality + Style Modifiers + Subjects,11,1010.53,1134.658181818182,495.353215940049,94.01374570446735
likes_per_month,Camera + Lighting + Parameter Weights + Style Modifiers + Subjects,12,996.055,1408.61,999.8056316104648,93.94501718213058
likes_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,17,995.44,2928.3852941176474,6792.95914452095,93.9278350515464
likes_per_month,Camera + Lighting + Parameter Weights + Subjects,17,985.38,2222.7576470588237,2741.0937736422566,93.85567010309278
likes_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Modifiers + Subjects,15,951.65,2024.8993333333333,2620.2937316122066,93.65292096219932
likes_per_month,Actions + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,14,947.66,1865.1821428571432,2702.0423913354834,93.61512027491409
likes_per_month,Actions + Lighting + Parameter Weights + Style Modifiers + Subjects,23,945.0,2307.0643478260868,3295.91194963229,93.606529209622
likes_per_month,Camera + Lighting + Parameter Weights + Style Codes + Style Modifiers + Subjects,10,902.275,1137.656,730.6278919970139,93.21649484536083
likes_per_month,Actions + Camera + Parameter Weights + Subjects,21,898.24,1279.730476190476,867.623845681417,93.18556701030927
likes_per_month,Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,15,895.71,2602.0180000000005,4072.4677583110056,93.16838487972508
likes_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Subjects,27,878.86,1306.4648148148149,1460.1158919106904,93.01202749140893
likes_per_month,Actions + Camera + Negative Prompts + Negative Terms + Parameter Weights + Style Codes + Style Modifiers + Subjects,12,872.105,1567.4449999999997,1417.012044941162,92.94501718213058
likes_per_month,Camera + Lighting + Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Codes + Style Modifiers + Subjects,43,858.95,2228.4606976744185,3234.3562477105343,92.83848797250859
likes_per_month,Negative Prompts + Negative Terms + Parameter Weights + Quality + Style Modifiers + Subjects,12,785.19,1701.3291666666667,2297.1653785134786,92.09965635738831
