feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,-0.011815334464978846,0.043849267514083155,-0.005217822707238531,0.37343275743661974,0.011815334464978846,original
has_artists,-0.02044099823697834,0.00048812880604062617,-0.015450637244026053,0.008395765271951787,0.02044099823697834,original
has_camera_composition,-0.01999246514333191,0.0006480741214832153,-0.01731512886217387,0.003138525201610513,0.01999246514333191,original
has_lighting_color,0.021581397160317612,0.00023161015452736997,0.012605071448563564,0.03153487906023703,0.021581397160317612,original
has_quality_boosters,-0.007223000024733012,0.2179062617520151,-0.01868768143969781,0.0014325009619191797,0.007223000024733012,original
has_style_codes,0.008794966941934492,0.1335435617503282,-0.01030802551630861,0.07868141082464097,0.008794966941934492,original
has_style_modifiers,0.03486406066736904,2.6992390112783934e-09,0.020838569212056495,0.00037794041773745585,0.03486406066736904,original
has_subjects,0.01719369198939312,0.003355796334160746,0.019777187364862225,0.0007410577566362136,0.01719369198939312,original
actions_verbs_count,-0.013058100582612534,0.025910914122392565,-0.006535918196078689,0.2648897900576426,0.013058100582612534,log1p
artists_count,-0.020636197617939986,0.00043074172590912697,-0.011780652847983969,0.04447224536347163,0.020636197617939986,log1p
camera_composition_count,-0.020162072125392335,0.0005825880524616468,-0.019140423790131755,0.0010935956908896388,0.020162072125392335,log1p
lighting_color_count,0.022866519581956655,9.576508941917436e-05,0.008636381331031801,0.14069159516245167,0.022866519581956655,log1p
quality_boosters_count,-0.006157619381947262,0.2935452690771242,-0.018918781469435254,0.0012489775457833118,0.006157619381947262,log1p
style_codes_count,0.019437350890743662,0.0009133724148316457,-0.006620640586884615,0.25874577138799715,0.019437350890743662,log1p
style_modifiers_count,0.03140988251376321,8.358358864396963e-08,0.014515413790038637,0.013280100730627029,0.03140988251376321,log1p
subjects_count,-0.01789693823787139,0.002264887006310408,-0.011518141115297517,0.04943409588608469,0.01789693823787139,log1p
has_negative,-0.04003576241497364,8.371837392026858e-12,-0.057228439425162946,1.5140990640473311e-22,0.04003576241497364,original
has_weights,0.007708483792954178,0.18853279833365716,-0.011526181169795239,0.04927550546138621,0.007708483792954178,original
negative_word_count,-0.044127935221131134,5.0350561166599384e-14,-0.06244010581690054,1.5420779887705214e-26,0.044127935221131134,log1p
prompt_word_count,0.021365050178810463,0.00026753326421546047,0.014973393009822355,0.010640063171785034,0.021365050178810463,log1p
