feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,-0.011815334464978846,0.043849267514083155,-0.011815334464978844,0.04384926751408443,0.011815334464978846,percentile_rank
has_artists,-0.02044099823697834,0.00048812880604062617,-0.020440998236978355,0.0004881288060406166,0.02044099823697834,percentile_rank
has_camera_composition,-0.01999246514333191,0.0006480741214832153,-0.019992465143331927,0.0006480741214831683,0.01999246514333191,percentile_rank
has_lighting_color,0.021581397160317612,0.00023161015452736997,0.021581397160317616,0.00023161015452737244,0.021581397160317612,percentile_rank
has_quality_boosters,-0.007223000024733012,0.2179062617520151,-0.007223000024733019,0.21790626175201017,0.007223000024733012,percentile_rank
has_style_codes,0.008794966941934492,0.1335435617503282,0.008794966941934497,0.13354356175032753,0.008794966941934492,percentile_rank
has_style_modifiers,0.03486406066736904,2.6992390112783934e-09,0.03486406066736906,2.6992390112782958e-09,0.03486406066736904,percentile_rank
has_subjects,0.01719369198939312,0.003355796334160746,0.017193691989393117,0.0033557963341607896,0.01719369198939312,percentile_rank
actions_verbs_count,-0.013058100582612534,0.025910914122392565,-0.013058100582612543,0.025910914122394397,0.013058100582612534,percentile_rank
artists_count,-0.020636197617939986,0.00043074172590912697,-0.020636197617939986,0.000430741725909157,0.020636197617939986,percentile_rank
camera_composition_count,-0.020162072125392335,0.0005825880524616468,-0.02016207212539234,0.0005825880524616492,0.020162072125392335,percentile_rank
lighting_color_count,0.022866519581956655,9.576508941917436e-05,0.022866519581956644,9.576508941917634e-05,0.022866519581956655,percentile_rank
quality_boosters_count,-0.006157619381947262,0.2935452690771242,-0.006157619381947268,0.2935452690771257,0.006157619381947262,percentile_rank
style_codes_count,0.019437350890743662,0.0009133724148316457,0.01943735089074367,0.0009133724148315201,0.019437350890743662,percentile_rank
style_modifiers_count,0.03140988251376321,8.358358864396963e-08,0.03140988251376322,8.358358864396228e-08,0.03140988251376321,percentile_rank
subjects_count,-0.01789693823787139,0.002264887006310408,-0.017896938237871394,0.0022648870063107143,0.01789693823787139,percentile_rank
has_negative,-0.04003576241497364,8.371837392026858e-12,-0.040035762414973634,8.371837392027333e-12,0.04003576241497364,percentile_rank
has_weights,0.007708483792954178,0.18853279833365716,0.00770848379295418,0.1885327983336553,0.007708483792954178,percentile_rank
negative_word_count,-0.044127935221131134,5.0350561166599384e-14,-0.04412793522113112,5.035056116659799e-14,0.044127935221131134,percentile_rank
prompt_word_count,0.021365050178810463,0.00026753326421546047,0.021365050178810466,0.00026753326421544686,0.021365050178810463,percentile_rank
