feature,raw_correlation,raw_p_value,partial_correlation,partial_p_value,correlation_change,controls_used
Subjects,-0.0448300919382041,1.994864547594694e-14,-0.030449614359161027,2.0459003988375658e-07,0.014380477579043073,"prompt_word_count, months_since_posting"
Weights,0.01941201059813766,0.0009276052917642586,0.01603189902466049,0.006241792683634858,-0.00338011157347717,"prompt_word_count, months_since_posting"
Camera Composition,0.03660385049000531,4.2116753219858554e-10,0.012542390701273314,0.032395981946543875,-0.024061459788731993,"prompt_word_count, months_since_posting"
Artists,-0.03401332840306153,6.487926498612029e-09,0.011375736778080013,0.05232283263269386,0.045389065181141545,"prompt_word_count, months_since_posting"
Actions Verbs,0.037999321400406474,8.916720463979748e-11,-0.008772102844819055,0.13456983573847653,-0.046771424245225526,"prompt_word_count, months_since_posting"
Style Codes,-0.007963043563350074,0.17435054094465727,0.0061263773116664545,0.29601803430092377,0.01408942087501653,"prompt_word_count, months_since_posting"
Lighting Color,0.008282344788475535,0.15770697384364046,0.005510621625336417,0.34722983075024305,-0.0027717231631391188,"prompt_word_count, months_since_posting"
Quality Boosters,0.06319266120612775,3.8302960830796246e-27,0.0020001676279441183,0.732970340045354,-0.061192493578183633,"prompt_word_count, months_since_posting"
Style Modifiers,0.008680038008339896,0.1386951058216386,0.0018914230108911527,0.7469770346303872,-0.0067886149974487435,"prompt_word_count, months_since_posting"
