feature,raw_correlation,raw_p_value,partial_correlation,partial_p_value,correlation_change,controls_used
Subjects,-0.04469822925190704,2.3762671286498336e-14,-0.0292499492781404,6.027017274210351e-07,0.015448279973766642,"prompt_word_count, months_since_posting"
Weights,0.014319901039112314,0.014573309345902289,0.014541764188303642,0.01311693854012674,0.00022186314919132866,"prompt_word_count, months_since_posting"
Camera Composition,0.03458621104504233,3.6026021906205538e-09,0.012556973027866387,0.03219525688527488,-0.02202923801717594,"prompt_word_count, months_since_posting"
Artists,-0.034575953071925236,3.6410510188362304e-09,0.010361970361149761,0.07713942592996155,0.044937923433075,"prompt_word_count, months_since_posting"
Actions Verbs,0.050293400238347184,9.125193379365126e-18,-0.005764694611887296,0.3254522497454445,-0.05605809485023448,"prompt_word_count, months_since_posting"
Lighting Color,-0.0013142718794670245,0.8226106673660334,0.0054165165893651415,0.35552596740690723,0.0067307884688321655,"prompt_word_count, months_since_posting"
Style Codes,-0.01148610159182298,0.05007033598504905,0.004361955444680091,0.45685235984960515,0.01584805703650307,"prompt_word_count, months_since_posting"
Style Modifiers,0.0012269868249738165,0.834214550984073,0.0011776174824155712,0.8407994203692184,-4.936934255824529e-05,"prompt_word_count, months_since_posting"
Quality Boosters,0.057110615201951855,1.846858061182478e-22,0.00045354023825523954,0.9383354181562102,-0.05665707496369662,"prompt_word_count, months_since_posting"
