feature,threshold,threshold_value,point_biserial_r,point_biserial_p,spearman_r,spearman_p,abs_correlation,success_rate
quality_boosters_count,top_25_percent,319.58500000000004,0.08244683835928275,4.516560856724521e-45,0.07521716069170302,8.742403967787446e-38,0.08244683835928275,0.25
prompt_word_count,top_25_percent,319.58500000000004,0.08152600216525793,4.1700854524576533e-44,0.10236913907185775,1.242147709713257e-68,0.08152600216525793,0.25
camera_composition_count,top_25_percent,319.58500000000004,0.07163752509907592,2.005103485268294e-34,0.051600985534316045,1.274457830459357e-18,0.07163752509907592,0.25
has_quality_boosters,top_25_percent,319.58500000000004,0.0507914740628342,4.336415945830465e-18,0.0507914740628342,4.336415945829067e-18,0.0507914740628342,0.25
has_negative,top_25_percent,319.58500000000004,0.04726837508848052,7.172656006528492e-16,0.04726837508848043,7.172656006529106e-16,0.04726837508848052,0.25
negative_word_count,top_25_percent,319.58500000000004,0.04406884572946413,5.439520218694241e-14,0.0680090814117781,3.481023993857682e-31,0.04406884572946413,0.25
style_codes_count,top_25_percent,319.58500000000004,0.042437503282742116,4.4131044809036437e-13,0.018633481858220266,0.0014789971596834933,0.042437503282742116,0.25
lighting_color_count,top_25_percent,319.58500000000004,0.040684433517984384,3.843471090812579e-12,0.01151651191837105,0.04946628398368817,0.040684433517984384,0.25
has_subjects,top_25_percent,319.58500000000004,-0.03939197403006464,1.7913915865357354e-11,-0.039391974030064635,1.79139158653567e-11,0.03939197403006464,0.25
has_camera_composition,top_25_percent,319.58500000000004,0.03886520355951768,3.3088177679627165e-11,0.038865203559517676,3.308817767962938e-11,0.03886520355951768,0.25
actions_verbs_count,top_25_percent,319.58500000000004,0.0367735303042923,3.4975316325538706e-10,0.03849134651410716,5.089849655309479e-11,0.0367735303042923,0.25
has_actions_verbs,top_25_percent,319.58500000000004,0.03339211134055802,1.2149747314561666e-08,0.03339211134055802,1.2149747314563221e-08,0.03339211134055802,0.25
has_weights,top_25_percent,319.58500000000004,0.029914718329547087,3.325629693236866e-07,0.02991471832954711,3.325629693237083e-07,0.029914718329547087,0.25
has_artists,top_25_percent,319.58500000000004,-0.014566843822379412,0.012957236320438069,-0.01456684382237939,0.012957236320438251,0.014566843822379412,0.25
style_modifiers_count,top_25_percent,319.58500000000004,0.010305182106718094,0.07876392393557477,0.007560417798068028,0.19716397782705472,0.010305182106718094,0.25
has_style_codes,top_25_percent,319.58500000000004,0.0099261595255164,0.0904088532342283,0.00992615952551637,0.09040885323422822,0.0099261595255164,0.25
subjects_count,top_25_percent,319.58500000000004,-0.005562227881385832,0.3427164525429333,-0.02172369278175807,0.00021050637432575703,0.005562227881385832,0.25
has_style_modifiers,top_25_percent,319.58500000000004,0.0047423343250910495,0.41854308353990144,0.004742334325090994,0.41854308353990244,0.0047423343250910495,0.25
has_lighting_color,top_25_percent,319.58500000000004,-0.004251845652639007,0.4682786438570014,-0.004251845652639036,0.46827864385700535,0.004251845652639007,0.25
artists_count,top_25_percent,319.58500000000004,-0.003464284541693982,0.5545612529829839,-0.014887006301256556,0.011099052603457081,0.003464284541693982,0.25
prompt_word_count,top_50_percent,128.05,0.08416920588142682,6.606654864257191e-47,0.0901385176521389,1.4644491848177546e-53,0.08416920588142682,0.5
