feature,spearman_r,spearman_p,pearson_r,pearson_p,abs_spearman,transformation
has_actions_verbs,0.050293400238347184,9.125193379365126e-18,0.050293400238347184,9.125193379362402e-18,0.050293400238347184,percentile_rank
has_artists,-0.034575953071925236,3.6410510188362304e-09,-0.034575953071925236,3.6410510188365423e-09,0.034575953071925236,percentile_rank
has_camera_composition,0.03458621104504233,3.6026021906205538e-09,0.034586211045042344,3.6026021906204574e-09,0.03458621104504233,percentile_rank
has_lighting_color,-0.0013142718794670245,0.8226106673660334,-0.0013142718794670238,0.8226106673660382,0.0013142718794670245,percentile_rank
has_quality_boosters,0.057110615201951855,1.846858061182478e-22,0.05711061520195187,1.8468580611827624e-22,0.057110615201951855,percentile_rank
has_style_codes,-0.011486101591822982,0.05007033598504906,-0.011486101591822983,0.05007033598504722,0.011486101591822982,percentile_rank
has_style_modifiers,0.0012269868249738165,0.834214550984073,0.0012269868249738165,0.8342145509840653,0.0012269868249738165,percentile_rank
has_subjects,-0.044698229251907036,2.3762671286498595e-14,-0.04469822925190703,2.3762671286493578e-14,0.044698229251907036,percentile_rank
actions_verbs_count,0.060012281032983145,1.231852768430283e-24,0.06001228103298314,1.2318527684305728e-24,0.060012281032983145,percentile_rank
artists_count,-0.036077063746279635,7.459319341017533e-10,-0.03607706374627964,7.459319341016116e-10,0.036077063746279635,percentile_rank
camera_composition_count,0.05123372034811221,2.226490327313733e-18,0.05123372034811221,2.2264903273144518e-18,0.05123372034811221,percentile_rank
lighting_color_count,0.014746468491276074,0.011883407767473647,0.014746468491276081,0.011883407767472721,0.014746468491276074,percentile_rank
quality_boosters_count,0.08628477347709244,3.266731381409729e-49,0.08628477347709247,3.2667313814117607e-49,0.08628477347709244,percentile_rank
style_codes_count,0.007812517629907374,0.18263724659079772,0.007812517629907373,0.1826372465908015,0.007812517629907374,percentile_rank
style_modifiers_count,0.005408177246284283,0.3562506027153347,0.005408177246284285,0.35625060271532094,0.005408177246284283,percentile_rank
subjects_count,-0.02140554127443024,0.00026043572871832114,-0.021405541274430246,0.0002604357287182955,0.02140554127443024,percentile_rank
has_negative,0.02049142623196833,0.00047265642518589155,0.020491426231968323,0.00047265642518584563,0.02049142623196833,percentile_rank
has_weights,0.014319901039112312,0.0145733093459023,0.014319901039112314,0.014573309345901618,0.014319901039112312,percentile_rank
negative_word_count,0.04305336492410766,2.020313234235185e-13,0.04305336492410766,2.0203132342355226e-13,0.04305336492410766,percentile_rank
prompt_word_count,0.12342042358741065,3.882552995829803e-99,0.12342042358741065,3.882552995831708e-99,0.12342042358741065,percentile_rank
