feature,median_with_feature,median_without_feature,median_difference,cliffs_delta,effect_size,mann_whitney_u,p_value,n_with_feature,n_without_feature
Subjects,125.0,147.16,-22.159999999999997,-0.07436555591647616,Negligible,47196654.0,2.4438518215316637e-14,25025,4075
Quality Boosters,137.60000000000002,119.35,18.25000000000003,0.06594633630798388,Negligible,112829430.5,1.9924727104217707e-22,14616,14484
Actions Verbs,133.68,121.75,11.930000000000007,0.05838783975191959,Negligible,110829850.5,9.54827105459793e-18,13043,16057
Artists,111.51,130.65,-19.14,-0.054083317099089846,Negligible,54564388.0,3.6768112073915737e-09,4735,24365
Camera Composition,132.22,124.55,7.670000000000002,0.04045111033796819,Negligible,107349860.0,3.638023168761668e-09,12237,16863
Weights,130.56,125.73,4.829999999999998,0.016598849408167443,Negligible,106784545.0,0.014575852523267237,13277,15823
Style Codes,124.225,130.28,-6.055000000000007,-0.013271098795903052,Negligible,104319168.0,0.05007207094307662,14042,15058
Lighting Color,127.5,128.63,-1.1299999999999955,-0.0015340864299862634,Negligible,103428146.5,0.8226067954392203,12422,16678
Style Modifiers,129.825,126.42500000000001,3.3999999999999773,0.0014349707443179,Negligible,103335889.5,0.8342109530939369,12242,16858
